0.0,0.0,0.0,0.0
0.0,180.0,0.0,180.0
0.0,360.0,0.0,360.0
133.0,181.0,153.0,140.0
135.0,150.0,153.0,101.0
144.0,173.0,162.0,114.0
145.0,87.0,165.0,59.0
148.0,267.0,170.0,211.0
150.0,159.0,173.0,100.0
163.0,236.0,183.0,179.0
178.0,171.0,187.0,120.0
182.0,255.0,201.0,193.0
183.0,154.0,204.0,101.0
186.0,76.0,193.0,37.0
187.0,221.0,208.0,162.0
195.0,315.0,212.0,235.0
202.0,168.0,212.0,115.0
206.0,82.0,212.0,34.0
208.0,214.0,224.0,152.0
209.0,250.0,221.0,179.0
211.0,230.0,224.0,165.0
217.0,278.0,228.0,201.0
219.0,322.0,231.0,233.0
221.0,247.0,233.0,178.0
224.0,165.0,230.0,112.0
229.0,69.0,245.0,34.0
236.0,148.0,236.0,97.0
238.0,218.0,239.0,162.0
240.0,0.0,240.0,0.0
240.0,360.0,240.0,360.0
252.0,250.0,258.0,186.0
258.0,166.0,255.0,116.0
258.0,312.0,252.0,229.0
277.0,151.0,268.0,90.0
284.0,224.0,277.0,167.0
285.0,76.0,272.0,52.0
289.0,160.0,282.0,102.0
291.0,128.0,287.0,87.0
314.0,259.0,293.0,196.0
322.0,168.0,303.0,136.0
480.0,0.0,480.0,0.0
480.0,180.0,480.0,180.0
480.0,360.0,480.0,360.0
